MUNICIPIOS;Ano 2016;Ano 2017;Ano 2018;Ano 2019
ABAETETUBA;15208;16305;17076;17480
ABEL FIGUEIREDO;662;664;652;616
ACARA;1257;1314;1380;1427
AFUA;3;2;1;2
AGUA AZUL DO NORTE;1506;1524;1321;1319
ALENQUER;2666;2907;3034;3120
ALMEIRIM;1829;1374;1142;1154
ALTAMIRA;33288;34215;34353;34356
ANAJAS;89;91;94;91
ANANINDEUA;107512;114488;120135;123899
ANAPU;1160;1421;1592;1790
AUGUSTO CORREA;1075;1168;1254;1276
AURORA DO PARA;1275;1276;1265;1316
AVEIRO;57;47;43;31
BAGRE;39;47;47;57
BAIAO;524;524;542;600
BANNACH;282;249;234;258
BARCARENA;14374;15598;16587;17340
BELEM;390838;404835;413948;416790
BELTERRA;1895;2115;2202;2262
BENEVIDES;7225;7867;8308;8665
BOM JESUS DO TOCANTINS;1055;1066;1060;1066
BONITO;799;946;1029;1064
BRAGANCA;11351;11969;12420;12681
BRASIL NOVO;2017;2055;2106;2140
BREJO GRANDE DO ARAGUAIA;494;509;495;491
BREU BRANCO;3858;4100;4295;4404
BREVES;2845;2973;3138;3295
BUJARU;923;980;1041;1052
CACHOEIRA DO ARARI;257;254;266;263
CACHOEIRA DO PIRIA;646;698;755;748
CAMETA;3070;3172;3289;3480
CANAA DO CARAJAS;13160;14471;15269;15881
CAPANEMA;18277;20314;22001;23421
CAPITAO POCO;3347;3880;3818;3912
CASTANHAL;47582;49593;51593;53038
CHAVES;3;2;2;2
COLARES;241;267;283;295
CONCEICAO DO ARAGUAIA;9530;9532;8830;9029
CONCORDIA DO PARA;784;753;773;768
CUMARU DO NORTE;300;315;330;339
CURIONOPOLIS;3815;4835;5449;5236
CURRALINHO;100;98;101;102
CURUA;135;147;155;158
CURUCA;1430;1536;1624;1688
DOM ELISEU;11887;10979;9143;8707
ELDORADO DOS CARAJAS;2697;2913;3031;3189
FARO;24;26;25;27
FLORESTA DO ARAGUAIA;1614;1671;1787;1628
GARRAFAO DO NORTE;773;845;879;883
GOIANESIA;1838;1855;1877;1934
GURUPA;240;352;322;275
IGARAPE-ACU;3162;3558;3889;3875
IGARAPE-MIRI;2195;2327;2408;2475
INHANGAPI;634;665;695;716
IPIXUNA DO PARA;1549;1582;1538;1518
IRITUIA;809;864;910;938
ITAITUBA;23200;24825;26032;26587
ITUPIRANGA;4406;4363;4082;3918
JACAREACANGA;326;322;343;376
JACUNDA;5930;5811;5610;5573
JURUTI;1707;1868;1935;1970
LIMOEIRO DO AJURU;165;187;194;198
MAE DO RIO;4829;4515;4562;4906
MAGALHAES BARATA;183;189;204;208
MARABA;86590;89496;90682;91624
MARACANA;543;571;641;679
MARAPANIM;900;1006;1054;1083
MARITUBA;15288;16579;17663;18335
MEDICILANDIA;2086;2346;2536;2584
MELGACO;41;46;43;45
MOCAJUBA;788;799;808;837
MOJU;3886;4136;4303;4311
MOJUI DOS CAMPOS;6;42;66;92
MONTE ALEGRE;5835;6215;6350;6423
MUANA;430;408;411;431
NOVA ESPERANCA DO PIRIA;303;328;371;457
NOVA IPIXUNA;1475;1434;1406;1382
NOVA TIMBOTEUA;1201;1330;1406;1451
NOVO PROGRESSO;6339;6800;6772;6794
NOVO REPARTIMENTO;5127;5285;5272;5340
OBIDOS;2597;2766;2935;3008
OEIRAS DO PARA;234;220;4685;235
ORIXIMINA;4107;4368;1279;4814
OUREM;1136;1272;5736;1297
OURILANDIA DO NORTE;8806;8149;2015;5654
PACAJA;1821;1938;2015;2059
PALESTINA DO PARA;266;275;266;250
PARAGOMINAS;33330;34486;33983;34261
PARAUAPEBAS;67286;72260;75464;77481
PAU D'ARCO;735;780;788;803
PEIXE-BOI;627;693;723;768
PICARRA;532;525;494;452
PLACAS;695;690;657;603
PONTA DE PEDRAS;385;390;383;394
PORTEL;397;394;416;428
PORTO DE MOZ;312;316;321;331
PRAINHA;364;357;356;363
PRIMAVERA;825;881;928;969
QUATIPURU;425;466;515;522
REDENCAO;34420;34896;31702;31810
RIO MARIA;3631;3649;3219;3253
RONDON DO PARA;6447;6645;6644;6650
RUROPOLIS;1865;2037;2159;2374
SALINOPOLIS;4592;4972;5059;5273
SALVATERRA;794;862;890;937
SANTA BARBARA DO PARA;1396;1577;1713;1835
SANTA CRUZ DO ARARI;43;43;44;38
SANTA ISABEL DO PARA;11175;12266;12941;13750
SANTA LUZIA DO PARA;1558;1635;1720;1752
SANTA MARIA DAS BARREIRAS;754;784;808;853
SANTA MARIA DO PARA;1758;1619;1576;1547
SANTANA DO ARAGUAIA;3860;4053;3826;3987
SANTAREM;80517;85417;88633;90111
SANTAREM NOVO;335;365;382;387
SANTO ANTONIO DO TAUA;2168;2329;2513;2687
SAO CAETANO DE ODIVELAS;673;686;715;726
SAO DOMINGOS DO ARAGUAIA;3542;3692;3656;3575
SAO DOMINGOS DO CAPIM;663;681;711;729
SAO FELIX DO XINGU;4603;4714;4599;4712
SAO FRANCISCO DO PARA;1302;1401;1483;1516
SAO GERALDO DO ARAGUAIA;4152;4135;3758;3621
SAO JOAO DA PONTA;193;198;204;221
SAO JOAO DE PIRABAS;895;977;1038;1071
SAO JOAO DO ARAGUAIA;697;721;766;790
SAO MIGUEL DO GUAMA;3792;3967;4081;4147
SAO SEBASTIAO DA BOA VISTA;58;59;61;66
SAPUCAIA;627;654;586;608
SENADOR JOSE PORFIRIO;349;408;420;456
SOURE;995;1022;1036;1070
TAILANDIA;6793;7089;7385;7729
TERRA ALTA;836;903;928;967
TERRA SANTA;600;646;704;702
TOME-ACU;4629;5002;5316;5677
TRACUATEUA;968;1066;1141;1131
TRAIRAO;906;986;1027;1051
TUCUMA;9980;9875;8880;9001
TUCURUI;23042;23864;24473;24533
ULIANOPOLIS;3169;3099;2610;2451
URUARA;3211;3380;3480;3595
VIGIA;2945;3126;3311;3385
VISEU;939;1039;1096;1072
VITORIA DO XINGU;1741;2063;2245;2263
XINGUARA;22272;21510;16094;16020
